Sample,2Theta_deg,Intensity,Wavelength_A,Scan_Speed_deg/min
Sample_A,10.0,50.52749545699124,1.5406,2.0
Sample_A,10.100143061516452,55.20643402845302,1.5406,2.0
Sample_A,10.200286123032905,42.097089169644136,1.5406,2.0
Sample_A,10.300429184549357,45.91398189923476,1.5406,2.0
Sample_A,10.400572246065808,24.56734690561195,1.5406,2.0
Sample_A,10.50071530758226,0.0,1.5406,2.0
Sample_A,10.600858369098713,55.79361823701093,1.5406,2.0
Sample_A,10.701001430615165,32.533907123755455,1.5406,2.0
Sample_A,10.801144492131616,57.881453131225655,1.5406,2.0
Sample_A,10.901287553648068,68.7021108776982,1.5406,2.0
Sample_A,11.001430615164521,49.68630584888026,1.5406,2.0
Sample_A,11.101573676680973,55.19191932506662,1.5406,2.0
Sample_A,11.201716738197424,20.53371517819516,1.5406,2.0
Sample_A,11.301859799713878,66.03853192152508,1.5406,2.0
Sample_A,11.40200286123033,14.984952266569614,1.5406,2.0
Sample_A,11.50214592274678,40.09896137151227,1.5406,2.0
Sample_A,11.602288984263232,29.82798381353771,1.5406,2.0
Sample_A,11.702432045779686,50.50488371748804,1.5406,2.0
Sample_A,11.802575107296137,47.56986290637373,1.5406,2.0
Sample_A,11.902718168812589,19.06253636159972,1.5406,2.0
Sample_A,12.002861230329042,37.86112052920711,1.5406,2.0
Sample_A,12.103004291845494,22.12374655288096,1.5406,2.0
Sample_A,12.203147353361945,37.446090108770946,1.5406,2.0
Sample_A,12.303290414878397,56.65264308711964,1.5406,2.0
Sample_A,12.40343347639485,19.172663163068428,1.5406,2.0
Sample_A,12.503576537911302,83.40599640743194,1.5406,2.0
Sample_A,12.603719599427754,40.00908269377366,1.5406,2.0
Sample_A,12.703862660944207,63.46257929132122,1.5406,2.0
Sample_A,12.804005722460658,94.9617914636375,1.5406,2.0
Sample_A,12.90414878397711,16.914744979015154,1.5406,2.0
Sample_A,13.004291845493562,40.51205967653451,1.5406,2.0
Sample_A,13.104434907010015,43.961695181986855,1.5406,2.0
Sample_A,13.204577968526467,31.379472458249886,1.5406,2.0
Sample_A,13.304721030042918,72.21972119386747,1.5406,2.0
Sample_A,13.404864091559372,46.20634083107724,1.5406,2.0
Sample_A,13.505007153075823,75.56819181986849,1.5406,2.0
Sample_A,13.605150214592275,38.91845762087195,1.5406,2.0
Sample_A,13.705293276108726,57.086054799852725,1.5406,2.0
Sample_A,13.80543633762518,41.19447655332088,1.5406,2.0
Sample_A,13.905579399141631,41.51102345423898,1.5406,2.0
Sample_A,14.005722460658083,54.56163249702897,1.5406,2.0
Sample_A,14.105865522174536,61.580883339147036,1.5406,2.0
Sample_A,14.206008583690988,32.91623293598699,1.5406,2.0
Sample_A,14.30615164520744,33.1731933289506,1.5406,2.0
Sample_A,14.406294706723891,36.88591775605408,1.5406,2.0
Sample_A,14.506437768240342,47.06234596900158,1.5406,2.0
Sample_A,14.606580829756796,21.760489980983053,1.5406,2.0
Sample_A,14.706723891273247,44.588863508896,1.5406,2.0
Sample_A,14.8068669527897,72.58606608993495,1.5406,2.0
Sample_A,14.907010014306152,23.194838568476325,1.5406,2.0
Sample_A,15.007153075822604,45.01407943483442,1.5406,2.0
Sample_A,15.107296137339056,85.26984425090916,1.5406,2.0
Sample_A,15.207439198855507,38.160811463216426,1.5406,2.0
Sample_A,15.30758226037196,31.843766375652596,1.5406,2.0
Sample_A,15.407725321888412,55.43599234773807,1.5406,2.0
Sample_A,15.507868383404865,49.90876658858894,1.5406,2.0
Sample_A,15.608011444921317,67.0821387255755,1.5406,2.0
Sample_A,15.708154506437769,18.199902321455443,1.5406,2.0
Sample_A,15.80829756795422,51.120979738221514,1.5406,2.0
Sample_A,15.908440629470672,52.11725133032016,1.5406,2.0
Sample_A,16.008583690987123,48.18324844707171,1.5406,2.0
Sample_A,16.10872675250358,35.7224788794748,1.5406,2.0
